TEAM_ID,TEAM_NAME,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner_3_FGM,Corner_3_FGA,Corner_3_FG_PCT,FTM,FTA,GP,MIN,POSS,Season
1610612755,Philadelphia 76ers,1419,2398,0.592,352,1018,0.346,435,1214,0.358,104,274,0.38,99,274,0.361,560,1693,0.331,1,14,0.071,203,548,0.37,1284,1850,82,3961,8119,2016
1610612756,Phoenix Suns,1368,2332,0.587,330,900,0.367,615,1668,0.369,84,246,0.341,95,247,0.385,558,1608,0.347,0,12,0,179,493,0.363,1431,1905,82,3941,8152,2016
1610612757,Portland Trail Blazers,1272,2200,0.578,330,846,0.39,701,1658,0.423,132,316,0.418,93,257,0.362,639,1748,0.366,0,11,0,225,573,0.393,1424,1889,82,3961,8012,2016
1610612758,Sacramento Kings,1561,2492,0.626,469,1260,0.372,593,1492,0.397,88,187,0.471,94,247,0.381,478,1389,0.344,0,15,0,182,434,0.419,1514,2089,82,3961,8302,2016
1610612759,San Antonio Spurs,1284,1974,0.65,502,1109,0.453,933,2196,0.425,77,214,0.36,91,229,0.397,401,1060,0.378,0,10,0,168,443,0.379,1342,1672,82,3941,7767,2016
1610612761,Toronto Raptors,1278,2147,0.595,449,1094,0.41,570,1512,0.377,132,338,0.391,104,240,0.433,472,1318,0.358,1,9,0.111,236,578,0.408,1702,2190,82,3956,7707,2016
1610612762,Utah Jazz,1277,2121,0.602,435,1093,0.398,551,1423,0.387,127,305,0.416,124,327,0.379,443,1302,0.34,0,22,0,251,632,0.397,1402,1885,82,3991,7625,2016
1610612764,Washington Wizards,1365,2195,0.622,373,895,0.417,791,1961,0.403,84,253,0.332,112,260,0.431,511,1449,0.353,1,14,0.071,196,513,0.382,1349,1849,82,3951,8163,2016
1610612737,Atlanta Hawks,1462,2441,0.599,290,783,0.37,642,1557,0.412,83,239,0.347,113,273,0.414,532,1608,0.331,0,12,0,196,512,0.383,1484,2039,82,3976,8091,2017
1610612738,Boston Celtics,1364,2237,0.61,349,836,0.417,470,1163,0.404,116,299,0.388,135,321,0.421,732,2098,0.349,0,20,0,251,620,0.405,1536,1903,82,3951,8005,2017
1610612751,Brooklyn Nets,1439,2435,0.591,443,1045,0.424,343,915,0.375,102,300,0.34,114,274,0.416,660,1995,0.331,0,21,0,216,574,0.376,1592,2020,82,3951,8371,2017
