TEAM_ID,TEAM_NAME,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner_3_FGM,Corner_3_FGA,Corner_3_FG_PCT,FTM,FTA,GP,MIN,POSS,Season
1610612746,LA Clippers,98,156,0.628,39,102,0.382,33,87,0.379,7,16,0.438,3,13,0.231,59,159,0.371,0,2,0,10,29,0.345,141,173,6,288,617,2019
1610612749,Milwaukee Bucks,304,453,0.671,43,144,0.299,58,157,0.369,27,62,0.435,15,62,0.242,150,445,0.337,0,2,0,42,124,0.339,306,420,15,730,1528,2019
1610612760,Oklahoma City Thunder,79,141,0.56,27,59,0.458,31,74,0.419,5,25,0.2,15,26,0.577,32,104,0.308,0,1,0,20,51,0.392,96,127,5,240,504,2019
1610612753,Orlando Magic,63,108,0.583,22,64,0.344,24,69,0.348,11,28,0.393,7,17,0.412,34,129,0.264,0,0,0,18,45,0.4,86,111,5,240,480,2019
1610612755,Philadelphia 76ers,205,322,0.637,80,189,0.423,75,178,0.421,17,38,0.447,19,55,0.345,77,245,0.314,0,3,0,36,93,0.387,245,310,12,576,1195,2019
1610612757,Portland Trail Blazers,262,469,0.559,86,236,0.364,94,217,0.433,19,40,0.475,21,57,0.368,149,421,0.354,0,7,0,40,97,0.412,304,397,16,793,1603,2019
1610612759,San Antonio Spurs,98,158,0.62,63,132,0.477,68,167,0.407,6,14,0.429,5,14,0.357,36,109,0.33,0,2,0,11,28,0.393,124,161,7,336,653,2019
1610612761,Toronto Raptors,345,541,0.638,141,340,0.415,133,328,0.405,33,123,0.268,44,105,0.419,208,595,0.35,0,2,0,77,228,0.338,464,559,24,1162,2330,2019
1610612762,Utah Jazz,95,156,0.609,23,69,0.333,8,28,0.286,6,33,0.182,6,24,0.25,35,120,0.292,0,2,0,12,57,0.211,96,128,5,240,493,2019
1610612738,Boston Celtics,262,399,0.657,98,234,0.419,85,192,0.443,36,81,0.444,22,72,0.306,153,463,0.33,0,3,0,58,153,0.379,336,412,17,831,1666,2020
